,venue_name,Location,total_capacity
268,Sohoplace,London,600
269,Yoko Ono Lennon Centre,Liverpool,1000
270,Yvonne Arnaud Theatre,Guildford,586
271,Stephan Joseph Theatre,Scarborough,569
272,Lemon Tree,Aberdeen,550
273,Under The Bridge,Fulham,550
274,Bloomsbury Theatre,London,535
275,Band on the Wall,Manchester,520
276,Britannia Adelphi Hotel,Liverpool,500
277,Camden Underworld,Camden Town,500
278,The Old Market,Hove,500
279,Corn Exchange,Exeter,800
280,The Fox and Firkin,London,499
281,STYX,North London,499
282,Ruskin Arms,London,499
283,New Theatre Royal Lincoln,Lincoln,475
284,An Seòmar,Scotland,450
285,Buskers,Dundee,450
286,The Stables,Milton Keynes,448
287,The Magic Garden,London,380
288,Purcell Room,South Bank,367
289,Jazz Cafe,London,350
290,100 Club,London,350
291,MK11 Live Music Venue,Milton Keynes,330
292,The Dome,London,300
293,"Tunnels, Aberdeen",,500
294,Drummomds,Aberdeen,300
295,Electric Circus,Edinburgh,300
296,The Mart Theatre,Skipton,300
297,The Bongo Club,Edinburgh,300
298,The Standard Music Venue,Walthamstow,300
299,The Boileroom,Guildford,300
300,Ronnie Scott's,London,300
301,Phoenix,Exeter,458
302,Fulham Greyhound,London,275
303,"The Borderline (music venue), The Borderline",London,275
304,Sheffield Library Theatre,Sheffield,260
305,The Victoria Wood Theatre,Bowness-on-Windermere,257
306,Century Theatre,Leicestershire,206
307,Off The Square,Manchester,200
308,The Voodoo Rooms,Edinburgh,200
309,The Half Moon,Putney,200
310,The Horn,St Albans,200
311,The Rose Theatre,Chesterfield,160
312,DIY Space For London,Bermondsey,160
313,The Leeds Club,Leeds,150
314,"Dublin Castle, Camden",London,150
315,Vintage Rockbar,Doncaster,150
316,House of Detention,Clerkenwell,130
317,606 Club,London,120
318,Sneaky Pete’s,Edinburgh,100
319,The New Headingley Club,Leeds,100
320,Vortex Jazz Club,London,100
321,The Lion Theatre,Horncastle,96
322,Cellar,Aberdeen,80
323,Bawtry Phoenix Theatre,Bawtry,72
